Consumer Brand,UML Id,Name,Country,Province,District,Latitude,Longitude,Parent Company,Parent Group,RSPO
J&J,PO1000006356,Sangara,Papua New Guinea,Oro,Ijivitari,-8.743386,148.198705,Kula Palm Oil Ltd - Higaturu Oil Palms,Nbpol,"RSPO Certified, IP"
J&J,PO1000006365,Usaha Agro Indonesia,Indonesia,Kalimantan Barat,Ketapang,-2.683161,110.975442,Usaha Agro Indonesia,Sampoerna Agro,"RSPO Certified, MB"
J&J,PO1000006366,Kayung Agro Lestari,Indonesia,Kalimantan Barat,Ketapang,-1.45051,110.232027,Kayung Agro Lestari,Austindo Nusantara Jaya Agri,"RSPO Certified, MB"
J&J,PO1000006376,Wanasari Nusantara,Indonesia,Riau,Kuantan Singingi,-0.287,101.4718,Wanasari Nusantara,Mustika Agro Sari,Not RSPO Certified
J&J,PO1000006389,Trong Oil Mill,Malaysia,Perak,Larut and Matang,4.67356,100.708154,Boustead Plantations Berhad,Boustead Plantations Berhad,"RSPO Certified, IP"
J&J,PO1000006502,Keratong 09,Malaysia,Pahang,Rompin,2.969027,102.958,Fgv Palm Industries Sdn Bhd,Fgv Holdings Berhad,"RSPO Certified, MB"
J&J,PO1000006505,Guntung Idaman Nusa 2,Indonesia,Riau,Indragiri Hilir,0.0530444,103.20761,Guntung Idaman Nusa,Berkat Sawit Sejati,"RSPO Certified, IP"
J&J,PO1000006576,Bilala Palm Oil Mill,Gabon,Ngounié,Tsamba Mangotsi,-1.6521556,10.8545278,Olam Palm Gabon Sa,Olam International,"RSPO Certified, MB"
J&J,PO1000006652,Tengkalat,Indonesia,Bangka Belitung,Bangka,-1.62363,105.988565,Gunung Pelawan Lestari,M. P. Evans,"RSPO Certified, MB"
J&J,PO1000006977,Kasuari,Indonesia,Papua,Jayapura,-2.973111,140.029917,Sinar Kencana Inti Perkasa,Smart/Golden Agri Resources (Gar),Not RSPO Certified
J&J,PO1000006984,Jalemo,Indonesia,Kalimantan Tengah,Gunung Mas,-1.3482,113.5022,Agrolestari Sentosa,Smart/Golden Agri Resources (Gar),Not RSPO Certified
J&J,PO1000006989,Kechau B,Malaysia,Pahang,Lipis,4.2391667,102.106667,Fgv Palm Industries Sdn Bhd,Fgv Holdings Berhad,"RSPO Certified, MB"
J&J,PO1000006992,Palong Timor,Malaysia,Johor,Segamat,2.7388889,102.705,Fgv Palm Industries Sdn Bhd,Fgv Holdings Berhad,"RSPO Certified, MB"
J&J,PO1000006998,Serting Hilir,Malaysia,Negeri Sembilan,Jempol,2.997778,102.4780556,Fgv Palm Industries Sdn Bhd,Fgv Holdings Berhad,"RSPO Certified, MB"
